timestamp,files,chunks,candidates,clones
2023-12-29T18:58:50.493665+00:00,0,0,0,0
2023-12-29T18:59:00.519954+00:00,12100,0,0,0
2023-12-29T18:59:10.550778+00:00,25000,0,0,0
2023-12-29T18:59:20.582473+00:00,38900,0,0,0
2023-12-29T18:59:30.621225+00:00,51600,0,0,0
2023-12-29T18:59:40.664627+00:00,66900,0,0,0
2023-12-29T18:59:50.740591+00:00,77700,0,0,0
2023-12-29T19:00:00.795102+00:00,90500,0,0,0
2023-12-29T19:00:10.856363+00:00,115600,0,0,0
2023-12-29T19:00:20.924830+00:00,132800,0,0,0
2023-12-29T19:00:31.000274+00:00,149200,0,0,0
2023-12-29T19:00:41.078400+00:00,161400,0,0,0
2023-12-29T19:00:51.230791+00:00,163589,78400,0,0
2023-12-29T19:01:01.365776+00:00,163589,157500,0,0
2023-12-29T19:01:11.520499+00:00,163589,236600,0,0
2023-12-29T19:01:21.744563+00:00,163589,362900,0,0
2023-12-29T19:01:31.988142+00:00,163589,482800,0,0
2023-12-29T19:01:42.228010+00:00,163589,578100,0,0
2023-12-29T19:01:52.497624+00:00,163589,663200,0,0
2023-12-29T19:02:02.781606+00:00,163589,743900,0,0
2023-12-29T19:02:13.073633+00:00,163589,835600,0,0
2023-12-29T19:02:23.392758+00:00,163589,946500,0,0
2023-12-29T19:02:33.728525+00:00,163589,1078600,0,0
2023-12-29T19:02:44.122075+00:00,163589,1191400,0,0
2023-12-29T19:02:54.549902+00:00,163589,1302000,0,0
2023-12-29T19:03:04.975671+00:00,163589,1422300,0,0
2023-12-29T19:03:15.435818+00:00,163589,1531800,0,0
2023-12-29T19:03:25.934837+00:00,163589,1641300,0,0
2023-12-29T19:03:36.498261+00:00,163589,1762000,0,0
2023-12-29T19:03:47.058314+00:00,163589,1861500,0,0
2023-12-29T19:03:57.655630+00:00,163589,1953300,0,0
2023-12-29T19:04:08.273422+00:00,163589,2071000,0,0
2023-12-29T19:04:18.888363+00:00,163589,2182400,0,0
2023-12-29T19:04:29.549545+00:00,163589,2305100,0,0
2023-12-29T19:04:40.230132+00:00,163589,2407900,0,0
2023-12-29T19:04:51.165683+00:00,163589,2494800,0,0
2023-12-29T19:05:02.119724+00:00,163589,2570000,0,0
2023-12-29T19:05:13.067020+00:00,163589,2649500,0,0
2023-12-29T19:05:23.956997+00:00,163589,2705900,0,0
2023-12-29T19:05:34.992416+00:00,163589,2798400,0,0
2023-12-29T19:05:45.977385+00:00,163589,2886400,0,0
2023-12-29T19:05:57.039831+00:00,163589,2997700,0,0
2023-12-29T19:06:08.037513+00:00,163589,3106800,0,0
2023-12-29T19:06:19.072895+00:00,163589,3194800,0,0
2023-12-29T19:06:31.180085+00:00,163589,3281800,0,0
2023-12-29T19:06:42.735489+00:00,163589,3386400,0,0
2023-12-29T19:06:54.194607+00:00,163589,3476600,0,0
2023-12-29T19:07:05.577987+00:00,163589,3541900,0,0
2023-12-29T19:07:16.989907+00:00,163589,3639200,0,0
2023-12-29T19:07:28.385922+00:00,163589,3742000,0,0
2023-12-29T19:07:39.668304+00:00,163589,3843400,0,0
2023-12-29T19:07:51.066976+00:00,163589,3941100,0,0
2023-12-29T19:08:02.481939+00:00,163589,4050100,0,0
2023-12-29T19:08:13.855501+00:00,163589,4084400,0,0
2023-12-29T19:08:25.272996+00:00,163589,4173100,0,0
2023-12-29T19:08:36.578409+00:00,163589,4297500,0,0
2023-12-29T19:08:47.935415+00:00,163589,4418400,0,0
2023-12-29T19:08:59.433984+00:00,163589,4547900,0,0
2023-12-29T19:09:10.977575+00:00,163589,4613900,0,0
2023-12-29T19:09:22.541120+00:00,163589,4638400,0,0
2023-12-29T19:09:34.466988+00:00,163589,4762600,0,0
2023-12-29T19:09:46.124676+00:00,163589,4849700,0,0
2023-12-29T19:09:57.867734+00:00,163589,4945000,0,0
2023-12-29T19:10:09.696888+00:00,163589,5020400,0,0
2023-12-29T19:10:21.645672+00:00,163589,5063200,0,0
2023-12-29T19:10:33.462861+00:00,163589,5130100,0,0
2023-12-29T19:10:46.053526+00:00,163589,5215000,0,0
2023-12-29T19:10:57.783875+00:00,163589,5278000,0,0
2023-12-29T19:11:09.839485+00:00,163589,5358200,0,0
2023-12-29T19:11:22.281042+00:00,163589,5467200,0,0
2023-12-29T19:11:34.961479+00:00,163589,5568000,0,0
2023-12-29T19:11:47.382450+00:00,163589,5676500,0,0
2023-12-29T19:11:59.883133+00:00,163589,5779300,0,0
2023-12-29T19:12:12.423286+00:00,163589,5900500,0,0
2023-12-29T19:12:25.224183+00:00,163589,6014300,0,0
2023-12-29T19:12:38.188679+00:00,163589,6160200,0,0
2023-12-29T19:12:50.848999+00:00,163589,6290000,0,0
2023-12-29T19:13:04.411104+00:00,163589,6400200,0,0
2023-12-29T19:13:17.365608+00:00,163589,6512800,0,0
2023-12-29T19:13:30.398916+00:00,163589,6643900,0,0
2023-12-29T19:13:43.216953+00:00,163589,6744800,0,0
2023-12-29T19:13:56.338342+00:00,163589,6802700,0,0
2023-12-29T19:14:09.094045+00:00,163589,6877900,0,0
2023-12-29T19:14:22.818311+00:00,163589,6991100,0,0
2023-12-29T19:14:36.096855+00:00,163589,7019300,0,0
2023-12-29T19:14:49.164220+00:00,163589,7051400,0,0
2023-12-29T19:15:02.329067+00:00,163589,7161200,0,0
2023-12-29T19:15:15.794304+00:00,163589,7284900,0,0
2023-12-29T19:15:29.422510+00:00,163589,7333500,0,0
2023-12-29T19:15:42.846443+00:00,163589,7413900,0,0
2023-12-29T19:15:55.885157+00:00,163589,7466700,0,0
2023-12-29T19:16:09.619947+00:00,163589,7582100,0,0
2023-12-29T19:16:24.024055+00:00,163589,7669100,0,0
2023-12-29T19:16:37.400211+00:00,163589,7739400,0,0
2023-12-29T19:16:50.628860+00:00,163589,7739400,0,0
2023-12-29T19:17:04.294953+00:00,163589,7739400,0,0
2023-12-29T19:17:17.578918+00:00,163589,7744700,0,0
2023-12-29T19:17:31.315342+00:00,163589,7831000,0,0
2023-12-29T19:17:45.361585+00:00,163589,7931400,0,0
2023-12-29T19:17:59.407318+00:00,163589,8059000,0,0
2023-12-29T19:18:13.355874+00:00,163589,8188000,0,0
2023-12-29T19:18:27.064209+00:00,163589,8287300,0,0
2023-12-29T19:18:41.008165+00:00,163589,8375800,0,0
2023-12-29T19:18:55.194022+00:00,163589,8449900,0,0
2023-12-29T19:19:09.691157+00:00,163589,8530500,0,0
2023-12-29T19:19:23.892986+00:00,163589,8633900,0,0
2023-12-29T19:19:37.940929+00:00,163589,8724500,0,0
2023-12-29T19:19:52.482297+00:00,163589,8853400,0,0
2023-12-29T19:20:07.178187+00:00,163589,8940900,0,0
2023-12-29T19:20:21.306772+00:00,163589,8948500,0,0
2023-12-29T19:20:35.712380+00:00,163589,8969900,0,0
2023-12-29T19:20:50.110567+00:00,163589,8976800,0,0
2023-12-29T19:21:04.309365+00:00,163589,9011100,0,0
2023-12-29T19:21:18.904683+00:00,163589,9107700,0,0
2023-12-29T19:21:33.928937+00:00,163589,9187200,0,0
2023-12-29T19:21:48.648627+00:00,163589,9262900,0,0
2023-12-29T19:22:03.692158+00:00,163589,9299900,0,0
2023-12-29T19:22:18.552721+00:00,163589,9299900,0,0
2023-12-29T19:22:33.285228+00:00,163589,9337400,0,0
2023-12-29T19:22:48.681875+00:00,163589,9395700,0,0
2023-12-29T19:23:03.601330+00:00,163589,9425200,0,0
2023-12-29T19:23:18.517904+00:00,163589,9487800,0,0
2023-12-29T19:23:33.879455+00:00,163589,9563700,0,0
2023-12-29T19:23:48.451780+00:00,163589,9623600,0,0
2023-12-29T19:24:03.683944+00:00,163589,9663300,0,0
2023-12-29T19:24:18.537330+00:00,163589,9755300,0,0
2023-12-29T19:24:33.469222+00:00,163589,9807000,0,0
2023-12-29T19:24:48.671532+00:00,163589,9925200,0,0
2023-12-29T19:25:03.804876+00:00,163589,10072400,0,0
